epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6662,1.56706,4.03508,1.44827,0.01285,0.13674,0.03958,0.0234,1.51537,4.04467,1.38074,0.00019343,0.00019343,0.00019343
2,20.246,1.55373,3.34513,1.41512,0.01205,0.21379,0.07492,0.04345,1.70487,3.77672,1.49601,0.000389634,0.000389634,0.000389634
3,26.7757,1.58171,2.55614,1.43605,0.90212,0.03393,0.13298,0.06791,1.82156,3.51793,1.64055,0.000581876,0.000581876,0.000581876
4,33.2505,1.58736,2.57128,1.39737,0.57402,0.2132,0.25521,0.1264,1.78416,2.58296,1.61557,0.00064719,0.00064719,0.00064719
5,39.6143,1.55068,2.00766,1.38657,0.4961,0.35391,0.33877,0.16994,1.72959,2.12894,1.54672,0.000640587,0.000640587,0.000640587
6,46.5092,1.51521,1.89674,1.38256,0.51313,0.40628,0.40565,0.20002,1.6948,1.85517,1.5068,0.000633983,0.000633983,0.000633983
7,55.6,1.5064,1.82859,1.36365,0.56108,0.4157,0.44268,0.23024,1.66517,1.843,1.49287,0.00062738,0.00062738,0.00062738
8,62.5497,1.4451,1.69988,1.35525,0.61679,0.39573,0.44785,0.22659,1.60305,1.79363,1.45131,0.000620777,0.000620777,0.000620777
9,69.4773,1.45064,1.59477,1.32961,0.66271,0.42961,0.48072,0.24984,1.65273,1.70141,1.49884,0.000614174,0.000614174,0.000614174
10,80.7417,1.49521,1.68339,1.3587,0.62969,0.46932,0.48253,0.25206,1.61994,1.70053,1.47996,0.00060757,0.00060757,0.00060757
11,90.8292,1.40797,1.53614,1.30185,0.57992,0.45325,0.4806,0.25315,1.6506,1.74485,1.48626,0.000600967,0.000600967,0.000600967
12,103.604,1.39045,1.56981,1.31271,0.61055,0.47565,0.50446,0.26525,1.59919,1.65071,1.44683,0.000594364,0.000594364,0.000594364
13,116.041,1.35494,1.51142,1.3122,0.6838,0.49405,0.53459,0.28447,1.56701,1.58026,1.43185,0.00058776,0.00058776,0.00058776
14,127.764,1.35856,1.42105,1.26972,0.70333,0.4773,0.54067,0.29456,1.53422,1.64493,1.42533,0.000581157,0.000581157,0.000581157
15,139.623,1.29732,1.37642,1.27289,0.64385,0.51995,0.54884,0.29566,1.54981,1.52735,1.41121,0.000574554,0.000574554,0.000574554
16,150.759,1.32782,1.38837,1.27195,0.63139,0.50326,0.54675,0.29325,1.57411,1.52037,1.40949,0.00056795,0.00056795,0.00056795
17,163.659,1.32029,1.37443,1.27128,0.67807,0.49778,0.54307,0.29086,1.55907,1.52343,1.38985,0.000561347,0.000561347,0.000561347
18,175.683,1.29277,1.34301,1.25418,0.7033,0.50056,0.55192,0.28474,1.59954,1.66308,1.44263,0.000554744,0.000554744,0.000554744
19,185.629,1.27411,1.28694,1.23841,0.72058,0.53096,0.56567,0.30451,1.61127,1.56466,1.45256,0.000548141,0.000548141,0.000548141
20,198.025,1.25286,1.25504,1.23708,0.65141,0.50196,0.54808,0.29502,1.54336,1.53536,1.40732,0.000541537,0.000541537,0.000541537
21,211.183,1.26502,1.26316,1.23379,0.67986,0.50584,0.56183,0.31048,1.54728,1.40047,1.42937,0.000534934,0.000534934,0.000534934
22,223.417,1.24218,1.24387,1.21215,0.7646,0.51647,0.58322,0.31615,1.51696,1.43172,1.38726,0.000528331,0.000528331,0.000528331
23,235.392,1.24679,1.19394,1.23314,0.7265,0.54065,0.59995,0.3311,1.49395,1.36395,1.38541,0.000521727,0.000521727,0.000521727
24,247.339,1.23078,1.1853,1.2163,0.68537,0.52187,0.5974,0.31814,1.53523,1.41527,1.38912,0.000515124,0.000515124,0.000515124
25,258.948,1.22235,1.1461,1.20726,0.72124,0.56976,0.60594,0.32353,1.50649,1.36853,1.38076,0.000508521,0.000508521,0.000508521
26,272.009,1.21709,1.15652,1.21457,0.66779,0.56693,0.60255,0.32513,1.5075,1.39045,1.38901,0.000501917,0.000501917,0.000501917
27,284.109,1.19623,1.13571,1.21144,0.67741,0.56216,0.58987,0.33244,1.52004,1.43988,1.38758,0.000495314,0.000495314,0.000495314
28,295.696,1.18971,1.11159,1.19924,0.70802,0.54561,0.59925,0.32333,1.52571,1.37988,1.39472,0.000488711,0.000488711,0.000488711
29,306.754,1.18291,1.13543,1.17763,0.716,0.53587,0.59193,0.31962,1.51239,1.38403,1.3688,0.000482108,0.000482108,0.000482108
30,319.199,1.15936,1.06959,1.17146,0.67996,0.59032,0.61694,0.33793,1.49133,1.32946,1.37291,0.000475504,0.000475504,0.000475504
31,332.342,1.15801,1.06742,1.17209,0.74385,0.5484,0.60584,0.32663,1.49743,1.34903,1.38561,0.000468901,0.000468901,0.000468901
32,344.978,1.16568,1.05485,1.16575,0.70461,0.57677,0.61923,0.34294,1.48957,1.31441,1.3787,0.000462298,0.000462298,0.000462298
33,356.536,1.18855,1.08772,1.19688,0.67634,0.59079,0.61869,0.34202,1.49769,1.29957,1.37627,0.000455694,0.000455694,0.000455694
34,367.028,1.1949,1.09037,1.18239,0.73095,0.56613,0.62041,0.34418,1.49216,1.32456,1.37836,0.000449091,0.000449091,0.000449091
35,379.848,1.13518,0.99287,1.16571,0.73582,0.57786,0.63502,0.35949,1.4508,1.28987,1.35768,0.000442488,0.000442488,0.000442488
36,392.585,1.11502,1.03404,1.16085,0.69207,0.58859,0.60699,0.33804,1.49436,1.35181,1.37252,0.000435884,0.000435884,0.000435884
37,404.153,1.13522,1.016,1.15305,0.7534,0.55245,0.62072,0.33465,1.4861,1.31689,1.36943,0.000429281,0.000429281,0.000429281
38,415.966,1.13564,1.01081,1.14871,0.72233,0.57469,0.61645,0.33822,1.51528,1.34093,1.38297,0.000422678,0.000422678,0.000422678
39,427.517,1.12594,0.98664,1.13816,0.73109,0.56177,0.6316,0.35412,1.45438,1.28265,1.35882,0.000416075,0.000416075,0.000416075
40,440.75,1.12079,0.97535,1.15514,0.75114,0.57736,0.62902,0.35193,1.49339,1.29729,1.37956,0.000409471,0.000409471,0.000409471
41,453.549,1.11094,0.94971,1.14554,0.72066,0.57318,0.62545,0.34638,1.49058,1.25719,1.39644,0.000402868,0.000402868,0.000402868
42,464.955,1.06456,0.93226,1.12722,0.66263,0.58871,0.61316,0.33511,1.48922,1.29045,1.39319,0.000396265,0.000396265,0.000396265
43,476.779,1.10443,0.96154,1.15028,0.72001,0.57245,0.63994,0.35111,1.49282,1.25599,1.37496,0.000389661,0.000389661,0.000389661
44,487.857,1.08649,0.92387,1.12738,0.7579,0.58431,0.64167,0.3531,1.4992,1.29317,1.3754,0.000383058,0.000383058,0.000383058
45,500.778,1.05998,0.8917,1.12129,0.73984,0.55663,0.62104,0.33908,1.53136,1.37569,1.38692,0.000376455,0.000376455,0.000376455
