epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1136,1.57717,4.06396,1.46301,0.00541,0.12394,0.03271,0.01874,1.5929,4.05592,1.42387,0.00019343,0.00019343,0.00019343
2,45.8685,1.60796,3.31554,1.43269,0.97741,0.01701,0.08195,0.04676,1.75852,3.79849,1.57268,0.000389634,0.000389634,0.000389634
3,62.1847,1.63061,2.56919,1.48556,0.87569,0.06276,0.16891,0.09725,1.72088,3.25614,1.55504,0.000581876,0.000581876,0.000581876
4,77.0026,1.6487,2.52924,1.47843,0.73343,0.24859,0.27666,0.14716,1.78935,2.60352,1.62584,0.00064719,0.00064719,0.00064719
5,91.9673,1.58753,2.06547,1.43131,0.5114,0.3331,0.33377,0.17194,1.70953,2.1087,1.58732,0.000640587,0.000640587,0.000640587
6,106.961,1.55522,1.95712,1.43487,0.44872,0.40026,0.40247,0.18876,1.83787,1.92946,1.62777,0.000633983,0.000633983,0.000633983
7,123.207,1.55119,1.85162,1.41998,0.61925,0.41491,0.44744,0.22246,1.68683,1.87381,1.52569,0.00062738,0.00062738,0.00062738
8,140.013,1.48244,1.69133,1.41575,0.60955,0.4058,0.44703,0.21934,1.66249,1.73391,1.52705,0.000620777,0.000620777,0.000620777
9,154.955,1.47432,1.60495,1.36292,0.54417,0.433,0.4278,0.21748,1.654,1.70136,1.49887,0.000614174,0.000614174,0.000614174
10,170.72,1.50134,1.71164,1.38037,0.59979,0.4815,0.48411,0.26093,1.60137,1.60829,1.4513,0.00060757,0.00060757,0.00060757
11,185.837,1.4272,1.5308,1.32433,0.5791,0.48695,0.5106,0.2772,1.58178,1.6341,1.48108,0.000600967,0.000600967,0.000600967
12,200.485,1.44134,1.55255,1.35375,0.56352,0.48741,0.50578,0.27091,1.59218,1.56639,1.47224,0.000594364,0.000594364,0.000594364
13,215.408,1.38239,1.53362,1.33796,0.63675,0.44181,0.50729,0.26618,1.60725,1.61153,1.46779,0.00058776,0.00058776,0.00058776
14,230.805,1.38547,1.41983,1.29713,0.66824,0.53815,0.5531,0.29762,1.55096,1.45592,1.4406,0.000581157,0.000581157,0.000581157
15,246.979,1.32682,1.37222,1.30491,0.66728,0.52765,0.54842,0.2931,1.5618,1.52391,1.42924,0.000574554,0.000574554,0.000574554
16,261.43,1.35041,1.37091,1.29386,0.64729,0.51774,0.53769,0.29511,1.56787,1.50616,1.42427,0.00056795,0.00056795,0.00056795
17,275.624,1.34454,1.36115,1.29157,0.67584,0.49976,0.53693,0.29004,1.56705,1.4879,1.42665,0.000561347,0.000561347,0.000561347
18,292.194,1.31862,1.32067,1.27446,0.68871,0.53153,0.57294,0.30915,1.55421,1.44672,1.4113,0.000554744,0.000554744,0.000554744
19,307.703,1.3018,1.26574,1.26162,0.63878,0.52797,0.56805,0.31143,1.52835,1.44654,1.41584,0.000548141,0.000548141,0.000548141
20,322.586,1.2438,1.2294,1.24583,0.63709,0.53697,0.56152,0.30746,1.54127,1.49944,1.43666,0.000541537,0.000541537,0.000541537
21,338.253,1.28088,1.23421,1.25286,0.69694,0.51376,0.56646,0.30825,1.5566,1.46759,1.45381,0.000534934,0.000534934,0.000534934
22,353.506,1.26163,1.22017,1.23483,0.7081,0.56458,0.59651,0.32342,1.50842,1.31567,1.39632,0.000528331,0.000528331,0.000528331
23,368.874,1.24396,1.16607,1.23922,0.69077,0.53056,0.57383,0.32321,1.51776,1.37368,1.40306,0.000521727,0.000521727,0.000521727
24,383.396,1.23511,1.16271,1.22591,0.7582,0.52034,0.5781,0.31398,1.54358,1.36017,1.41312,0.000515124,0.000515124,0.000515124
25,398.699,1.22184,1.11672,1.21758,0.74686,0.55075,0.60333,0.33182,1.51629,1.34016,1.41132,0.000508521,0.000508521,0.000508521
26,414.474,1.24082,1.15194,1.23336,0.70522,0.53919,0.58267,0.32845,1.54038,1.32938,1.41397,0.000501917,0.000501917,0.000501917
27,429.192,1.25363,1.11699,1.24762,0.72953,0.52992,0.58043,0.3199,1.53169,1.36135,1.41444,0.000495314,0.000495314,0.000495314
28,444.314,1.20424,1.07155,1.20957,0.66803,0.56594,0.59644,0.3289,1.52204,1.33393,1.38107,0.000488711,0.000488711,0.000488711
29,459.093,1.21652,1.11401,1.20734,0.70441,0.52123,0.57529,0.31646,1.57881,1.46921,1.42518,0.000482108,0.000482108,0.000482108
30,474.016,1.18841,1.06901,1.19984,0.69039,0.54757,0.59752,0.33293,1.52384,1.34093,1.4444,0.000475504,0.000475504,0.000475504
31,489.929,1.179,1.04604,1.19857,0.77266,0.54296,0.61033,0.34656,1.50164,1.28133,1.40458,0.000468901,0.000468901,0.000468901
32,505.712,1.18739,1.03486,1.17875,0.70023,0.57515,0.62186,0.33983,1.53297,1.31541,1.41572,0.000462298,0.000462298,0.000462298
33,520.966,1.1999,1.06395,1.20985,0.69631,0.57443,0.6088,0.34044,1.50376,1.33638,1.37832,0.000455694,0.000455694,0.000455694
34,536.359,1.18382,1.04787,1.18453,0.7453,0.5521,0.60772,0.34129,1.48537,1.28988,1.38562,0.000449091,0.000449091,0.000449091
35,550.828,1.12477,0.98301,1.1592,0.70614,0.54644,0.60167,0.34633,1.51178,1.30748,1.39833,0.000442488,0.000442488,0.000442488
36,565.617,1.1157,1.01493,1.17073,0.74545,0.55077,0.59027,0.34614,1.46355,1.34616,1.36776,0.000435884,0.000435884,0.000435884
37,581.067,1.15295,0.99058,1.16923,0.67723,0.56005,0.59192,0.34033,1.47595,1.31995,1.37108,0.000429281,0.000429281,0.000429281
38,596.688,1.14532,1.00675,1.16465,0.71417,0.563,0.59105,0.33805,1.48484,1.32305,1.35708,0.000422678,0.000422678,0.000422678
39,612.328,1.14112,0.97214,1.15449,0.77435,0.54536,0.61068,0.3492,1.49084,1.25592,1.39402,0.000416075,0.000416075,0.000416075
40,627.684,1.13227,0.95265,1.17115,0.77388,0.55411,0.60567,0.34661,1.48449,1.24553,1.40683,0.000409471,0.000409471,0.000409471
41,644.222,1.11472,0.94209,1.15823,0.7197,0.58663,0.6257,0.35619,1.47186,1.24238,1.39423,0.000402868,0.000402868,0.000402868
42,658.636,1.09087,0.92296,1.15012,0.70811,0.59075,0.61929,0.35265,1.5227,1.29059,1.4141,0.000396265,0.000396265,0.000396265
43,675.288,1.11644,0.92051,1.16116,0.76624,0.5897,0.63936,0.35916,1.49279,1.19861,1.38907,0.000389661,0.000389661,0.000389661
44,690.541,1.08994,0.9051,1.13524,0.72818,0.58348,0.6296,0.35603,1.50621,1.21741,1.39411,0.000383058,0.000383058,0.000383058
45,705.313,1.07698,0.87797,1.13101,0.75666,0.57331,0.63758,0.35867,1.49755,1.22141,1.4169,0.000376455,0.000376455,0.000376455
46,720.329,1.07431,0.89221,1.14104,0.72132,0.60895,0.64165,0.37021,1.45719,1.20566,1.36351,0.000369851,0.000369851,0.000369851
47,735.645,1.08534,0.88317,1.12866,0.76739,0.56392,0.62941,0.35671,1.48958,1.2551,1.37503,0.000363248,0.000363248,0.000363248
48,751.915,1.05093,0.86012,1.12742,0.72749,0.59448,0.63336,0.35921,1.49756,1.21609,1.40509,0.000356645,0.000356645,0.000356645
49,767.418,1.08234,0.87357,1.13231,0.76056,0.57269,0.63219,0.36212,1.47893,1.21495,1.38308,0.000350042,0.000350042,0.000350042
50,783.031,1.02808,0.84909,1.11558,0.75804,0.55652,0.62147,0.36263,1.44979,1.20385,1.38371,0.000343438,0.000343438,0.000343438
51,798.272,1.05234,0.84543,1.11841,0.70347,0.59511,0.62342,0.3627,1.46879,1.24028,1.39945,0.000336835,0.000336835,0.000336835
52,814.984,1.04476,0.82537,1.10441,0.7423,0.59093,0.62912,0.35913,1.47509,1.21292,1.37866,0.000330232,0.000330232,0.000330232
53,831.35,1.06058,0.84699,1.11481,0.74182,0.57085,0.61388,0.3546,1.44867,1.26199,1.35944,0.000323628,0.000323628,0.000323628
54,846.842,1.01973,0.81878,1.08881,0.70298,0.61296,0.63437,0.36762,1.43719,1.18223,1.34571,0.000317025,0.000317025,0.000317025
55,861.918,1.00829,0.80624,1.09073,0.7555,0.57837,0.63174,0.37054,1.44015,1.1869,1.36227,0.000310422,0.000310422,0.000310422
56,876.888,1.01707,0.79628,1.09569,0.74622,0.58631,0.63634,0.36514,1.45752,1.17751,1.37168,0.000303818,0.000303818,0.000303818
57,892.226,0.98704,0.79261,1.1064,0.75018,0.60418,0.6498,0.37452,1.46024,1.17178,1.38399,0.000297215,0.000297215,0.000297215
58,909.033,1.00379,0.78833,1.09797,0.74647,0.59873,0.6402,0.37103,1.46026,1.18001,1.3817,0.000290612,0.000290612,0.000290612
59,923.897,0.97,0.77634,1.08456,0.73921,0.59245,0.64259,0.37106,1.45417,1.15548,1.34973,0.000284009,0.000284009,0.000284009
60,940.979,0.97195,0.77833,1.08231,0.76216,0.58728,0.63761,0.36695,1.44835,1.18281,1.35989,0.000277405,0.000277405,0.000277405
61,955.799,0.99029,0.77406,1.09266,0.75133,0.60514,0.64912,0.37021,1.43172,1.16798,1.35664,0.000270802,0.000270802,0.000270802
62,970.268,0.97867,0.76921,1.08064,0.77559,0.58325,0.6415,0.37111,1.42184,1.15299,1.33509,0.000264199,0.000264199,0.000264199
63,985.299,0.94628,0.74444,1.08168,0.72356,0.5933,0.6381,0.36817,1.44541,1.1548,1.35936,0.000257595,0.000257595,0.000257595
64,1000.09,0.97673,0.76051,1.07072,0.75456,0.5902,0.6468,0.37153,1.45518,1.13882,1.35773,0.000250992,0.000250992,0.000250992
65,1015.63,0.9879,0.75946,1.06364,0.74118,0.59885,0.6466,0.37202,1.41928,1.14618,1.35318,0.000244389,0.000244389,0.000244389
66,1030.88,0.956,0.74143,1.06419,0.84439,0.55881,0.65072,0.37712,1.44915,1.18977,1.3661,0.000237785,0.000237785,0.000237785
67,1045.28,0.94603,0.72827,1.06122,0.73532,0.6097,0.65049,0.37416,1.46803,1.18674,1.39243,0.000231182,0.000231182,0.000231182
68,1059.85,0.96842,0.75252,1.0599,0.76978,0.57792,0.641,0.37158,1.45496,1.16137,1.38336,0.000224579,0.000224579,0.000224579
69,1074.82,0.93467,0.71277,1.05987,0.7313,0.61412,0.65371,0.3811,1.43397,1.16373,1.36449,0.000217976,0.000217976,0.000217976
70,1090.73,0.9479,0.72885,1.05821,0.77039,0.58418,0.64522,0.3779,1.43427,1.16591,1.35154,0.000211372,0.000211372,0.000211372
71,1106.48,0.93724,0.72251,1.05151,0.74982,0.58967,0.64531,0.37603,1.42048,1.17782,1.34873,0.000204769,0.000204769,0.000204769
72,1116.34,0.91688,0.69334,1.03013,0.79609,0.57324,0.65751,0.38471,1.42284,1.14345,1.35894,0.000198166,0.000198166,0.000198166
73,1126.48,0.8971,0.69501,1.0511,0.76235,0.58356,0.64546,0.37794,1.43931,1.14698,1.37617,0.000191562,0.000191562,0.000191562
74,1135.47,0.91789,0.70715,1.03154,0.78387,0.58769,0.64715,0.37654,1.43257,1.13029,1.36239,0.000184959,0.000184959,0.000184959
75,1144.01,0.90891,0.70417,1.04764,0.77858,0.59966,0.65379,0.38452,1.42895,1.144,1.36421,0.000178356,0.000178356,0.000178356
76,1152.57,0.89932,0.6865,1.0336,0.77962,0.6063,0.64965,0.37861,1.43997,1.14308,1.376,0.000171752,0.000171752,0.000171752
77,1161.33,0.90028,0.68033,1.03163,0.78309,0.60493,0.64367,0.37637,1.43255,1.15735,1.36561,0.000165149,0.000165149,0.000165149
78,1170.02,0.93057,0.70693,1.04735,0.789,0.602,0.65529,0.37679,1.44286,1.14918,1.3644,0.000158546,0.000158546,0.000158546
79,1178.58,0.87836,0.66254,1.02198,0.76496,0.6147,0.66182,0.37976,1.42535,1.15968,1.34801,0.000151943,0.000151943,0.000151943
80,1187.19,0.88178,0.67975,1.02748,0.81042,0.57712,0.65645,0.38154,1.42009,1.13815,1.35316,0.000145339,0.000145339,0.000145339
81,1195.76,0.88741,0.67329,1.0198,0.78599,0.61796,0.66297,0.38496,1.41446,1.12577,1.34152,0.000138736,0.000138736,0.000138736
82,1204.4,0.86246,0.64033,1.01688,0.75798,0.60157,0.65911,0.38452,1.4267,1.12324,1.35256,0.000132133,0.000132133,0.000132133
83,1213.16,0.87697,0.66163,1.03002,0.76969,0.59858,0.65955,0.38577,1.41237,1.12085,1.34777,0.000125529,0.000125529,0.000125529
84,1221.79,0.87424,0.6547,1.0284,0.78877,0.59773,0.66668,0.38462,1.41802,1.13279,1.34474,0.000118926,0.000118926,0.000118926
85,1230.34,0.86745,0.65605,1.02465,0.78313,0.60087,0.66011,0.38427,1.42006,1.14026,1.35279,0.000112323,0.000112323,0.000112323
86,1238.72,0.88178,0.65428,1.0262,0.78603,0.61534,0.66901,0.39144,1.41825,1.11705,1.35406,0.00010572,0.00010572,0.00010572
87,1247.35,0.88287,0.67786,1.01986,0.80234,0.58543,0.66015,0.38892,1.41726,1.11092,1.35259,9.91162e-05,9.91162e-05,9.91162e-05
88,1256.16,0.86935,0.65911,1.01921,0.77549,0.60362,0.66191,0.38952,1.41899,1.10396,1.35656,9.25129e-05,9.25129e-05,9.25129e-05
89,1264.87,0.82529,0.6233,1.01552,0.78382,0.59122,0.65926,0.38746,1.40339,1.10615,1.33967,8.59096e-05,8.59096e-05,8.59096e-05
90,1273.51,0.84691,0.63636,1.01336,0.76302,0.60107,0.65571,0.38224,1.41569,1.11792,1.35129,7.93063e-05,7.93063e-05,7.93063e-05
91,1284,0.86171,0.64679,0.99332,0.7819,0.59403,0.64792,0.37669,1.43756,1.1719,1.37176,7.2703e-05,7.2703e-05,7.2703e-05
92,1292.55,0.88083,0.66784,0.99504,0.78968,0.60558,0.65069,0.37727,1.43594,1.17533,1.37752,6.60997e-05,6.60997e-05,6.60997e-05
93,1300.86,0.83327,0.62565,0.98403,0.78099,0.60246,0.6542,0.37941,1.42706,1.13901,1.37019,5.94964e-05,5.94964e-05,5.94964e-05
94,1309.7,0.83651,0.61527,0.97394,0.77135,0.60288,0.6512,0.38095,1.41829,1.11995,1.36706,5.28931e-05,5.28931e-05,5.28931e-05
95,1318.15,0.80613,0.5927,0.96899,0.76705,0.60556,0.64939,0.386,1.41735,1.1073,1.3701,4.62898e-05,4.62898e-05,4.62898e-05
96,1326.67,0.82861,0.6218,0.99169,0.75081,0.60867,0.65108,0.38513,1.42277,1.11449,1.37078,3.96865e-05,3.96865e-05,3.96865e-05
97,1335.3,0.79275,0.58999,0.96059,0.80044,0.59237,0.65655,0.38438,1.42703,1.11718,1.37233,3.30832e-05,3.30832e-05,3.30832e-05
98,1345.88,0.82421,0.86585,0.96425,0.80799,0.59456,0.65833,0.38381,1.42502,1.12315,1.37036,2.64799e-05,2.64799e-05,2.64799e-05
99,1355.07,0.78319,0.58857,0.9557,0.80544,0.60035,0.6578,0.38599,1.42275,1.1214,1.37061,1.98766e-05,1.98766e-05,1.98766e-05
