epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3986,2.63008,6.26548,2.75429,0.59716,0.29426,0.39736,0.25771,2.64641,4.27451,2.79333,0.000331034,0.000331034,0.000331034
2,101.531,2.62188,4.4331,2.71244,0.52299,0.4574,0.47891,0.30562,2.75322,3.28335,2.89021,0.000657791,0.000657791,0.000657791
3,134.213,2.69994,3.80199,2.74737,0.50704,0.50591,0.51112,0.32179,2.8039,3.00276,2.94165,0.000977947,0.000977947,0.000977947
4,166.167,2.69409,3.38554,2.74572,0.57273,0.58308,0.56716,0.35816,2.70889,2.74155,2.86979,0.0009703,0.0009703,0.0009703
5,198.043,2.6562,3.0989,2.71164,0.6021,0.58274,0.59289,0.37296,2.74489,2.63799,2.83788,0.0009604,0.0009604,0.0009604
6,229.933,2.58607,2.75519,2.6602,0.64181,0.61376,0.6351,0.39958,2.66994,2.41582,2.78875,0.0009505,0.0009505,0.0009505
7,261.726,2.54868,2.62641,2.64172,0.69359,0.62709,0.65541,0.42289,2.53332,2.35563,2.71036,0.0009406,0.0009406,0.0009406
8,293.993,2.55046,2.57153,2.62362,0.64364,0.63273,0.64777,0.43406,2.56751,2.44189,2.70141,0.0009307,0.0009307,0.0009307
9,326.183,2.47368,2.38239,2.58657,0.69047,0.67315,0.70899,0.45753,2.51724,2.1087,2.67098,0.0009208,0.0009208,0.0009208
10,357.997,2.47346,2.32554,2.5818,0.68825,0.70019,0.70978,0.4691,2.47518,2.0582,2.67287,0.0009109,0.0009109,0.0009109
11,390.011,2.45214,2.29636,2.57657,0.75157,0.66672,0.71454,0.4714,2.45906,2.09465,2.61574,0.000901,0.000901,0.000901
12,421.717,2.4282,2.22803,2.55091,0.73378,0.67144,0.72417,0.47193,2.51163,2.11692,2.62311,0.0008911,0.0008911,0.0008911
13,453.874,2.4075,2.213,2.55258,0.72667,0.67549,0.73066,0.48709,2.4511,1.98613,2.60695,0.0008812,0.0008812,0.0008812
14,485.999,2.37299,2.11767,2.52665,0.72094,0.71968,0.73714,0.49565,2.41523,1.9552,2.57609,0.0008713,0.0008713,0.0008713
15,517.728,2.37523,2.12956,2.5404,0.74181,0.70533,0.73628,0.4862,2.47938,2.02628,2.59287,0.0008614,0.0008614,0.0008614
16,549.527,2.35203,2.06392,2.51531,0.7959,0.70429,0.75707,0.50131,2.39571,1.89468,2.57671,0.0008515,0.0008515,0.0008515
17,581.127,2.3024,2.00204,2.48466,0.77996,0.70276,0.75027,0.50494,2.41721,1.83023,2.60629,0.0008416,0.0008416,0.0008416
18,613.066,2.30828,1.98769,2.47896,0.81391,0.70183,0.76322,0.50711,2.38949,1.81409,2.57575,0.0008317,0.0008317,0.0008317
19,644.992,2.28172,1.92759,2.45742,0.78947,0.72517,0.77385,0.53046,2.33941,1.75681,2.51571,0.0008218,0.0008218,0.0008218
20,676.565,2.27709,1.92597,2.47488,0.79134,0.728,0.76209,0.52155,2.31233,1.81783,2.49541,0.0008119,0.0008119,0.0008119
21,708.57,2.3002,1.89008,2.45708,0.81049,0.75001,0.78789,0.5284,2.34085,1.72591,2.53068,0.000802,0.000802,0.000802
22,740.294,2.24524,1.89382,2.4414,0.76581,0.7446,0.75652,0.51498,2.36603,1.79445,2.54038,0.0007921,0.0007921,0.0007921
23,772.131,2.26137,1.873,2.4527,0.75522,0.74283,0.76969,0.52488,2.35088,1.71573,2.55793,0.0007822,0.0007822,0.0007822
24,803.877,2.22593,1.8041,2.42265,0.7938,0.73824,0.77403,0.53132,2.29769,1.69828,2.49649,0.0007723,0.0007723,0.0007723
