epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1,1.33514,2.51368,1.42289,0.68809,0.52573,0.59443,0.35526,1.35768,1.80222,1.46784,0.000331034,0.000331034,0.000331034
2,85.6592,1.3152,1.54713,1.41925,0.67947,0.57817,0.61144,0.36463,1.43557,1.48483,1.57992,0.000657791,0.000657791,0.000657791
3,121.823,1.34043,1.47885,1.43657,0.73045,0.64385,0.67872,0.41302,1.38165,1.3238,1.51825,0.000977947,0.000977947,0.000977947
4,157.834,1.31008,1.37611,1.41108,0.73294,0.62897,0.68386,0.41862,1.33404,1.30416,1.47589,0.0009703,0.0009703,0.0009703
5,194.339,1.28684,1.28492,1.3852,0.7661,0.70526,0.73423,0.45425,1.32179,1.224,1.46253,0.0009604,0.0009604,0.0009604
6,230.111,1.24119,1.1767,1.35363,0.82322,0.7239,0.75087,0.48272,1.2673,1.07998,1.39781,0.0009505,0.0009505,0.0009505
7,265.73,1.22586,1.13725,1.34942,0.77439,0.69003,0.73393,0.46531,1.30882,1.11149,1.43381,0.0009406,0.0009406,0.0009406
8,301.987,1.21185,1.11874,1.33271,0.80808,0.72449,0.76076,0.48022,1.24134,1.05488,1.38245,0.0009307,0.0009307,0.0009307
9,338.638,1.17503,1.0631,1.31267,0.80088,0.711,0.75659,0.48729,1.28231,1.05565,1.37249,0.0009208,0.0009208,0.0009208
10,374.865,1.17834,1.03118,1.31132,0.82617,0.73114,0.77777,0.50731,1.20744,0.95724,1.34578,0.0009109,0.0009109,0.0009109
11,411.021,1.16367,1.02541,1.30554,0.81758,0.72391,0.77466,0.4958,1.22325,0.96498,1.34623,0.000901,0.000901,0.000901
12,446.611,1.1519,0.98376,1.29054,0.79319,0.76022,0.78063,0.50559,1.20683,0.94549,1.34055,0.0008911,0.0008911,0.0008911
13,482.66,1.14202,0.97899,1.29066,0.82493,0.74247,0.79718,0.52153,1.20042,0.90829,1.34438,0.0008812,0.0008812,0.0008812
14,518.709,1.12659,0.94089,1.27896,0.80242,0.75522,0.77267,0.50433,1.19774,0.94873,1.3331,0.0008713,0.0008713,0.0008713
15,554.462,1.12792,0.95041,1.28735,0.80647,0.74743,0.79369,0.51825,1.18277,0.96912,1.31104,0.0008614,0.0008614,0.0008614
16,590.028,1.11073,0.92517,1.27247,0.82215,0.76099,0.78901,0.52268,1.17915,0.92102,1.31892,0.0008515,0.0008515,0.0008515
17,625.576,1.08896,0.89472,1.25256,0.81752,0.75745,0.79984,0.52152,1.1706,0.88696,1.30157,0.0008416,0.0008416,0.0008416
18,661.145,1.09057,0.88642,1.25359,0.85068,0.74283,0.795,0.52855,1.1414,0.89111,1.28261,0.0008317,0.0008317,0.0008317
19,696.789,1.07996,0.86516,1.24166,0.83599,0.75701,0.79084,0.5321,1.13332,0.87578,1.27887,0.0008218,0.0008218,0.0008218
20,732.279,1.06691,0.87068,1.24037,0.86049,0.7728,0.80919,0.55165,1.10534,0.83022,1.25631,0.0008119,0.0008119,0.0008119
21,768.544,1.07939,0.85303,1.23711,0.79301,0.78058,0.80308,0.5343,1.14229,0.8662,1.28206,0.000802,0.000802,0.000802
