epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.986,1.45952,2.99269,1.47094,0.58506,0.37731,0.41126,0.23741,1.46607,1.83531,1.5034,0.000221112,0.000221112,0.000221112
2,71.186,1.37511,1.82437,1.40093,0.66781,0.44005,0.48744,0.28021,1.47027,1.60753,1.53978,0.000439055,0.000439055,0.000439055
3,102.816,1.39772,1.65593,1.39967,0.57087,0.51196,0.51298,0.29068,1.45477,1.53907,1.52275,0.000652596,0.000652596,0.000652596
4,134.262,1.357,1.53705,1.38469,0.71873,0.54483,0.5835,0.34092,1.42786,1.42147,1.48107,0.00064719,0.00064719,0.00064719
5,165.688,1.32692,1.45701,1.37298,0.64853,0.6086,0.60203,0.35258,1.4229,1.32873,1.47036,0.000640587,0.000640587,0.000640587
6,197.031,1.31368,1.37314,1.34977,0.6922,0.57561,0.61069,0.37516,1.37411,1.39261,1.43399,0.000633983,0.000633983,0.000633983
7,228.217,1.27866,1.31752,1.33989,0.69472,0.59375,0.62797,0.38203,1.35689,1.22771,1.42467,0.00062738,0.00062738,0.00062738
8,259.688,1.27406,1.26722,1.33246,0.70017,0.59053,0.62613,0.37897,1.36287,1.28414,1.41896,0.000620777,0.000620777,0.000620777
9,291.074,1.26413,1.24111,1.33071,0.68044,0.62346,0.64365,0.39021,1.3788,1.24729,1.45472,0.000614174,0.000614174,0.000614174
10,322.173,1.2836,1.24638,1.33537,0.74238,0.61347,0.65853,0.3971,1.34838,1.1913,1.41137,0.00060757,0.00060757,0.00060757
11,353.231,1.23197,1.14218,1.29822,0.72938,0.65455,0.68357,0.41269,1.30517,1.08014,1.38391,0.000600967,0.000600967,0.000600967
12,385.201,1.22001,1.12956,1.28984,0.74135,0.63024,0.67407,0.41728,1.321,1.10349,1.40656,0.000594364,0.000594364,0.000594364
13,416.629,1.21754,1.10894,1.28599,0.73125,0.6222,0.67722,0.40959,1.32913,1.09614,1.39617,0.00058776,0.00058776,0.00058776
14,447.747,1.21837,1.10391,1.28896,0.76014,0.65777,0.6985,0.4358,1.26371,1.04807,1.35638,0.000581157,0.000581157,0.000581157
15,479.052,1.19854,1.07081,1.27299,0.7404,0.65511,0.70078,0.43759,1.28468,1.01559,1.37117,0.000574554,0.000574554,0.000574554
16,510.635,1.18103,1.04108,1.26908,0.75944,0.64182,0.69964,0.43613,1.27249,1.0288,1.35702,0.00056795,0.00056795,0.00056795
17,541.989,1.1743,1.02733,1.25597,0.78346,0.67481,0.71109,0.44989,1.25214,0.98954,1.34158,0.000561347,0.000561347,0.000561347
18,573.13,1.18447,1.05222,1.26448,0.77925,0.64668,0.70074,0.44559,1.26053,1.0055,1.34076,0.000554744,0.000554744,0.000554744
19,604.553,1.15246,1.00205,1.24556,0.75801,0.68087,0.72351,0.45253,1.24652,0.95086,1.33847,0.000548141,0.000548141,0.000548141
20,636.015,1.14675,0.97008,1.24184,0.74472,0.6865,0.71972,0.45576,1.2422,0.95875,1.32836,0.000541537,0.000541537,0.000541537
21,667.234,1.14673,0.97844,1.2447,0.82032,0.65938,0.72763,0.46613,1.22853,0.99771,1.31607,0.000534934,0.000534934,0.000534934
22,698.329,1.1199,0.92523,1.22645,0.7759,0.66948,0.7216,0.46393,1.2452,0.99024,1.34842,0.000528331,0.000528331,0.000528331
23,730.048,1.1463,0.97101,1.23993,0.76731,0.69156,0.7347,0.46664,1.2122,0.92202,1.30357,0.000521727,0.000521727,0.000521727
24,761.594,1.11537,0.92739,1.22409,0.76065,0.67514,0.7253,0.46551,1.20073,0.92743,1.30304,0.000515124,0.000515124,0.000515124
25,792.838,1.1177,0.90837,1.22027,0.77,0.69542,0.72774,0.46675,1.21548,0.91925,1.3076,0.000508521,0.000508521,0.000508521
26,824.225,1.0986,0.90444,1.21069,0.76151,0.6856,0.72898,0.47062,1.21521,0.93479,1.31699,0.000501917,0.000501917,0.000501917
27,856.284,1.11587,0.92756,1.21393,0.79981,0.68772,0.74476,0.48141,1.19651,0.88019,1.2979,0.000495314,0.000495314,0.000495314
28,888.217,1.10416,0.8936,1.21054,0.78248,0.68434,0.73606,0.47197,1.21148,0.90757,1.30101,0.000488711,0.000488711,0.000488711
29,919.985,1.09804,0.88904,1.21066,0.75926,0.70772,0.73685,0.47149,1.19989,0.90353,1.30254,0.000482108,0.000482108,0.000482108
30,951.521,1.08958,0.87308,1.19991,0.74794,0.72024,0.74758,0.48426,1.19434,0.8779,1.28722,0.000475504,0.000475504,0.000475504
31,983.124,1.08081,0.86296,1.1969,0.78237,0.70026,0.7483,0.48231,1.19823,0.89182,1.29292,0.000468901,0.000468901,0.000468901
32,1014.73,1.09007,0.87118,1.19835,0.74762,0.7266,0.74165,0.48138,1.18866,0.89411,1.28152,0.000462298,0.000462298,0.000462298
33,1046.34,1.06974,0.84446,1.18964,0.79624,0.69221,0.74779,0.49396,1.17781,0.87845,1.28004,0.000455694,0.000455694,0.000455694
34,1077.62,1.06195,0.83979,1.19231,0.80496,0.69235,0.75657,0.49083,1.19055,0.86821,1.28771,0.000449091,0.000449091,0.000449091
