epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3939,2.86728,7.36489,2.82014,0.56369,0.27865,0.25795,0.16013,2.83683,4.03763,2.92426,0.000221112,0.000221112,0.000221112
2,117.979,2.82361,5.02176,2.75998,0.37449,0.39987,0.35576,0.21691,2.90383,3.55474,2.97226,0.000439055,0.000439055,0.000439055
3,157.999,2.89216,4.42496,2.76377,0.46253,0.38071,0.36217,0.22453,2.86677,3.50661,3.01213,0.000652596,0.000652596,0.000652596
4,197.938,2.81902,3.94791,2.76792,0.45397,0.43067,0.41166,0.24847,2.90622,3.25382,2.98909,0.00064719,0.00064719,0.00064719
5,238.282,2.7869,3.58815,2.75246,0.46051,0.4626,0.44708,0.27387,2.87072,2.95269,2.94427,0.000640587,0.000640587,0.000640587
6,279.276,2.76151,3.30815,2.69692,0.53111,0.48495,0.47153,0.29369,2.84397,2.96171,2.91011,0.000633983,0.000633983,0.000633983
7,319.577,2.69406,3.10508,2.68517,0.5099,0.49033,0.48268,0.30492,2.84753,2.91241,2.91487,0.00062738,0.00062738,0.00062738
8,360.541,2.66477,2.9493,2.66741,0.5262,0.51626,0.52936,0.33515,2.73265,2.70044,2.8408,0.000620777,0.000620777,0.000620777
9,400.83,2.67316,2.88077,2.67636,0.56065,0.53305,0.5355,0.32703,2.74445,2.60526,2.8293,0.000614174,0.000614174,0.000614174
10,442.095,2.70015,2.87792,2.67146,0.56071,0.56101,0.54994,0.33842,2.74708,2.57462,2.83019,0.00060757,0.00060757,0.00060757
11,482.509,2.59258,2.6118,2.61112,0.58819,0.58111,0.57819,0.35888,2.67989,2.42997,2.79355,0.000600967,0.000600967,0.000600967
12,523.36,2.58712,2.60395,2.59239,0.61536,0.58284,0.59891,0.37282,2.71435,2.36989,2.78881,0.000594364,0.000594364,0.000594364
13,563.341,2.58967,2.54279,2.58527,0.59979,0.59285,0.60096,0.37623,2.66367,2.31925,2.75904,0.00058776,0.00058776,0.00058776
