epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3327,1.45825,2.94486,1.45686,0.54908,0.42964,0.41703,0.24696,1.46309,1.74269,1.5038,0.000221112,0.000221112,0.000221112
2,102.374,1.39325,1.77569,1.41307,0.56765,0.53553,0.52504,0.28746,1.4916,1.49846,1.53984,0.000439055,0.000439055,0.000439055
3,147.544,1.42111,1.64196,1.4165,0.57366,0.5512,0.55266,0.32496,1.47239,1.53803,1.51307,0.000652596,0.000652596,0.000652596
4,192.476,1.37324,1.53478,1.40867,0.6995,0.56282,0.59822,0.34774,1.42447,1.36982,1.48984,0.00064719,0.00064719,0.00064719
5,237.569,1.3525,1.44963,1.39906,0.67405,0.58103,0.60279,0.35913,1.41572,1.28256,1.46846,0.000640587,0.000640587,0.000640587
6,282.577,1.33068,1.3704,1.36406,0.67144,0.60667,0.62079,0.37544,1.36459,1.19654,1.43271,0.000633983,0.000633983,0.000633983
7,327.573,1.29403,1.29924,1.35541,0.67054,0.6098,0.63027,0.37798,1.36274,1.22894,1.44201,0.00062738,0.00062738,0.00062738
8,372.778,1.2798,1.24888,1.34625,0.69603,0.61316,0.64943,0.39668,1.32773,1.17887,1.41343,0.000620777,0.000620777,0.000620777
9,417.657,1.27355,1.2272,1.34071,0.71613,0.61373,0.64014,0.37807,1.37185,1.16463,1.41849,0.000614174,0.000614174,0.000614174
10,462.974,1.29211,1.22702,1.34252,0.74465,0.64888,0.69182,0.41969,1.30531,1.09182,1.38384,0.00060757,0.00060757,0.00060757
11,508.018,1.24137,1.1337,1.31169,0.75953,0.63512,0.68252,0.42224,1.29422,1.07107,1.37581,0.000600967,0.000600967,0.000600967
12,553.195,1.23208,1.11686,1.30066,0.72006,0.6577,0.67932,0.42002,1.31009,1.05729,1.37681,0.000594364,0.000594364,0.000594364
13,597.977,1.23471,1.09734,1.30008,0.7352,0.64927,0.69744,0.43203,1.28012,1.00704,1.36155,0.00058776,0.00058776,0.00058776
14,643.089,1.2335,1.10429,1.30052,0.77535,0.6646,0.71074,0.4406,1.27677,1.02414,1.36283,0.000581157,0.000581157,0.000581157
15,688.575,1.20335,1.0557,1.28597,0.7396,0.67115,0.7074,0.43901,1.26404,1.00689,1.35356,0.000574554,0.000574554,0.000574554
16,733.863,1.19431,1.02945,1.27952,0.75403,0.66216,0.71186,0.44152,1.28175,0.96518,1.36067,0.00056795,0.00056795,0.00056795
17,778.874,1.18157,1.01038,1.2653,0.76767,0.66498,0.7224,0.45045,1.25951,0.95627,1.35701,0.000561347,0.000561347,0.000561347
18,824.213,1.19014,1.01729,1.27772,0.7598,0.67662,0.71809,0.44876,1.24432,0.95697,1.33536,0.000554744,0.000554744,0.000554744
19,869.05,1.17494,0.98376,1.26191,0.75064,0.69861,0.72759,0.45837,1.23897,0.9385,1.33309,0.000548141,0.000548141,0.000548141
20,914.121,1.14621,0.95296,1.24386,0.76135,0.68138,0.7229,0.45843,1.249,0.96623,1.33833,0.000541537,0.000541537,0.000541537
21,959.174,1.16188,0.96308,1.25889,0.75086,0.6979,0.72494,0.46118,1.2283,0.94466,1.32593,0.000534934,0.000534934,0.000534934
22,1004.21,1.13045,0.9145,1.23577,0.75483,0.68895,0.73376,0.47111,1.21806,0.92577,1.31305,0.000528331,0.000528331,0.000528331
23,1049.1,1.14867,0.95589,1.24986,0.78191,0.66885,0.72506,0.46584,1.21295,0.91042,1.31822,0.000521727,0.000521727,0.000521727
24,1094.01,1.134,0.9142,1.2411,0.76791,0.69349,0.72937,0.46599,1.21495,0.89884,1.32101,0.000515124,0.000515124,0.000515124
